Compound	Modifier	Head	FreqComp	FreqMod	FreqHead	ProdMod	ProdHead	AmbMod	AmbHead
Verkehrsverhältnis	Verkehr	Verhältnis	3043	372255	867130	382	142	4	3
Vermögensverhältnis	Vermögen	Verhältnis	6474	223528	867130	73	142	3	3
Verschlusssache	Verschluss	Sache	2404	49307	2658027	8	95	2	2
Verschlusszeit	Verschluss	Zeit	9720	49307	10018522	8	450	2	3
Vertragsverhältnis	Vertrag	Verhältnis	19208	839675	867130	114	142	1	3
Vertragswerk	Vertrag	Werk	7242	839675	1354148	114	366	1	6
Vertrauenssache	Vertrauen	Sache	3533	487277	2658027	61	95	1	2
Vertrauensverhältnis	Vertrauen	Verhältnis	14146	487277	867130	61	142	1	3
Verwandtschaftsverhältnis	Verwandtschaft	Verhältnis	2878	44039	867130	5	142	3	3
Verzugszins	Verzug	Zins	6922	32632	236648	1	36	1	1
Videospiel	Video	Spiel	42595	995249	4122168	159	403	2	6
Vitaminmangel	Vitamin	Mangel	2752	242319	382072	15	129	1	4
Vitaminpräparat	Vitamin	Präparat	3329	242319	71527	15	16	1	1
Vogelzug	Vogel	Zug	2469	429340	1036257	115	200	2	11
Volksweise	Volk	Weise	2183	968611	1702202	351	121	3	4
Vorgangsweise	Vorgang	Weise	4102	312738	1702202	3	121	2	4
Vorgehensweise	Vorgehen	Weise	145988	210721	1702202	1	121	1	4
Vorstandschef	Vorstand	Chef	10767	554158	394992	92	283	2	1
Wachstumsphase	Wachstum	Phase	6498	334999	504204	125	136	3	1
Wachstumsprozess	Wachstum	Prozess	3684	334999	894542	125	193	3	3
Wärmelampe	Wärme	Lampe	2547	264202	185507	67	42	2	1
Wärmequelle	Wärme	Quelle	5720	264202	777720	67	103	2	3
Wagenburg	Wagen	Burg	3359	505552	304908	72	147	4	1
Wahlkommission	Wahl	Kommission	4773	1191125	271576	335	187	5	2
Wahrnehmungsfähigkeit	Wahrnehmung	Fähigkeit	3683	267457	691050	35	155	2	2
Waldarbeiter	Wald	Arbeiter	4538	842206	256243	226	137	1	2
Waldrand	Wald	Rand	28832	842206	523473	226	98	1	2
Wandfläche	Wand	Fläche	5085	606765	565210	68	222	3	2
Wandlungsfähigkeit	Wandlung	Fähigkeit	3587	44356	691050	2	155	1	2
Wandlungsprozess	Wandlung	Prozess	5043	44356	894542	2	193	1	3
Wannenbad	Wanne	Bad	2646	44676	150444	3	98	2	4
Wasserbedarf	Wasser	Bedarf	4586	2297829	508087	412	137	4	2
Wassermangel	Wasser	Mangel	8524	2297829	382072	412	129	4	4
Wasserquelle	Wasser	Quelle	4063	2297829	777720	412	103	4	3
Wasserspiel	Wasser	Spiel	9038	2297829	4122168	412	403	4	6
Wasserstand	Wasser	Stand	31080	2297829	846433	412	195	4	6
Wasserwerk	Wasser	Werk	20344	2297829	1354148	412	366	4	6
Wegrand	Weg	Rand	7852	3943385	523473	83	98	4	2
Wehrführer	Wehr	Führer	11448	92845	173872	88	234	3	3
Weihnachtszeit	Weihnacht	Zeit	51470	13668	10018522	212	450	1	3
Wesenszug	Wesen	Zug	6767	459225	1036257	13	200	2	11
Westrand	West	Rand	2573	201833	523473	327	98	2	2
Wetterbedingung	Wetter	Bedingung	16128	749066	711934	82	154	3	2
Wetterverhältnis	Wetter	Verhältnis	10975	749066	867130	82	142	3	3
Widerstandsfähigkeit	Widerstand	Fähigkeit	8190	418742	691050	71	155	4	2
Wiesenfläche	Wiese	Fläche	3438	260241	565210	55	222	1	2
Windspiel	Wind	Spiel	2284	551317	4122168	88	403	3	6
Windverhältnis	Wind	Verhältnis	5802	551317	867130	88	142	3	3
Winterspiel	Winter	Spiel	16067	721552	4122168	207	403	1	6
Wissensstand	Wissen	Stand	20069	998852	846433	36	195	2	6
Witterungsverhältnis	Witterung	Verhältnis	8637	49319	867130	14	142	2	3
Witwenrente	Witwe	Rente	3253	61725	234995	3	41	1	2
Wortführer	Wort	Führer	6388	2791010	173872	132	234	4	3
Wortspiel	Wort	Spiel	19163	2791010	4122168	132	403	4	6
Wrackteil	Wrack	Teil	2142	27355	4347552	2	287	2	5
Wucherpreis	Wucher	Preis	2115	7282	2133731	8	376	1	3
Würfelspiel	Würfel	Spiel	4408	80371	4122168	14	403	2	6
Wunderwerk	Wunder	Werk	9961	393784	1354148	83	366	1	6
Wurzelwerk	Wurzel	Werk	4615	283151	1354148	26	366	5	6
Zahlenspiel	Zahl	Spiel	2704	1482535	4122168	66	403	3	6
Zahlenverhältnis	Zahl	Verhältnis	2283	1482535	867130	66	142	3	3
Zahlenwerk	Zahl	Werk	4950	1482535	1354148	66	366	3	6
Zaumzeug	Zaum	Zeug	2662	12500	266202	2	38	1	2
Zeichenkette	Zeichen	Kette	8836	749903	207479	62	139	3	4
Zeitarbeiter	Zeit	Arbeiter	4355	10018522	256243	240	137	3	2
Zeitmangel	Zeit	Mangel	14931	10018522	382072	240	129	3	4
Zeitzeugnis	Zeit	Zeugnis	2168	10018522	198179	240	30	3	3
Zementwerk	Zement	Werk	2810	17986	1354148	30	366	1	6
Zeugenstand	Zeuge	Stand	2086	296027	846433	24	195	1	6
Zeughaus	Zeug	Haus	6326	266202	3860157	3	556	2	5
Ziegenbock	Ziege	Bock	2556	58520	108730	33	14	2	3
Zimtstange	Zimt	Stange	2727	28653	101757	4	46	1	2
Zinseszins	Zins	Zins	5057	236648	236648	116	36	1	1
Zipfelmütze	Zipfel	Mütze	2696	14589	58998	3	39	1	1
Zitronensaft	Zitrone	Saft	30803	46148	103159	21	43	1	2
Zugewinngemeinschaft	Zugewinn	Gemeinschaft	3179	15219	451970	2	215	1	2
Zugführer	Zug	Führer	11617	1036257	173872	95	234	11	3
Zukunftsaussicht	Zukunft	Aussicht	7474	1746877	280821	121	28	2	2
Zukunftsfähigkeit	Zukunft	Fähigkeit	14612	1746877	691050	121	155	2	2
